Title,Rating,Year
180. Harry Potter and the Deathly Hallows: Part 2,8.1,2011
181. The Gold Rush,8.1,1925
182. 12 Years a Slave,8.1,2013
183. Before Sunrise,8.1,1995
184. The Grand Budapest Hotel,8.1,2014
185. Ben-Hur,8.1,1959
186. Gone Girl,8.1,2014
187. On the Waterfront,8.1,1954
188. Barry Lyndon,8.1,1975
189. The General,8.1,1926
190. Wild Strawberries,8.1,1957
191. In the Name of the Father,8.1,1993
192. The Deer Hunter,8.1,1978
193. Hacksaw Ridge,8.1,2016
194. The Third Man,8.1,1949
195. The Wages of Fear,8.2,1953
196. Memories of Murder,8.1,2003
197. Sherlock Jr.,8.2,1924
198. Wild Tales,8.1,2014
199. Mr. Smith Goes to Washington,8.1,1939
200. Mad Max: Fury Road,8.1,2015
201. Dead Poets Society,8.1,1989
202. Mary and Max,8.1,2009
"203. Monsters, Inc.",8.1,2001
204. How to Train Your Dragon,8.1,2010
205. Jaws,8.1,1975
206. The Seventh Seal,8.1,1957
207. Room,8.1,2015
208. Tokyo Story,8.2,1953
209. The Big Lebowski,8.1,1998
210. Ford v Ferrari,8.1,2019
211. The Passion of Joan of Arc,8.2,1928
212. Hotel Rwanda,8.1,2004
213. Ratatouille,8.1,2007
214. Rocky,8.1,1976
215. Platoon,8.1,1986
216. Logan,8.1,2017
217. Spotlight,8.1,2015
218. The Terminator,8.1,1984
219. Jai Bhim,8.8,2021
220. Before Sunset,8.1,2004
221. Rush,8.1,2013
222. Stand by Me,8.1,1986
223. Network,8.1,1976
224. The Best Years of Our Lives,8.1,1946
225. Into the Wild,8.1,2007
226. The Wizard of Oz,8.1,1939
227. La haine,8.1,1995
228. The Incredibles,8.0,2004
229. The Exorcist,8.1,1973
230. Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003
231. To Be or Not to Be,8.2,1942
232. Groundhog Day,8.0,1993
233. My Father and My Son,8.2,2005
234. The Battle of Algiers,8.1,1966
235. The Grapes of Wrath,8.1,1940
236. Hachi: A Dog's Tale,8.1,2009
237. The Handmaiden,8.1,2016
238. Pather Panchali,8.2,1955
239. Amores Perros,8.1,2000
240. Rebecca,8.1,1940
241. Cool Hand Luke,8.1,1967
242. The Sound of Music,8.1,1965
243. The 400 Blows,8.1,1959
244. It Happened One Night,8.1,1934
245. Persona,8.1,1966
246. The Help,8.1,2011
247. The Iron Giant,8.1,1999
248. Life of Brian,8.0,1979
249. Aladdin,8.0,1992
250. Dances with Wolves,8.0,1990
